frame_idx,timestamp,blur_score,brightness_score,contrast_score,occlusion_score,global_score,var_laplacian,mean_brightness,sat_ratio,std_gray,edge_density,blocked_ratio,global_level,blur_level,brightness_level,contrast_level,qc_blur_level,qc_occlusion_level,qc_light_level,qc_blur_alert,qc_occlusion_alert,qc_light_alert,stab_dx,stab_dy,stab_mag,stab_vibration_rms,stab_level,stab_accum_x,stab_accum_y,mot_num_regions,mot_area_ratio,mot_level
10,1764819378.4986954,25.15886683029363,99.76497395833334,35.388199718499635,0.0,43.2494470622632,200.31773366058727,107.63381944444444,0.0011751302083333334,40.92468987332484,0.002492404513888889,0.059661458333333334,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.00038829047116450965,STABLE,0.00018310546875,-0.001220703125,1,0.0010416666666666667,LOW
11,1764819378.532664,25.15792010964229,99.76540798611111,35.39091261944036,0.0,43.250089570106006,200.31584021928458,107.63504774305555,0.0011729600694444444,40.92591067874816,0.0024858940972222222,0.05967013888888889,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.0003702204267028719,STABLE,0.00018310546875,-0.001220703125,0,0.0,NONE
12,1764819378.575179,25.13112757492007,99.76584201388889,35.38760162613971,0.0,43.23835108882728,200.26225514984014,107.63470811631944,0.0011707899305555556,40.92442073176287,0.0024782986111111112,0.05967230902777778,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.00035445907269604504,STABLE,0.00018310546875,-0.001220703125,0,0.0,NONE
13,1764819378.76878,25.1690024931637,99.76497395833334,35.38854444559485,0.0,43.25373622576404,200.3380049863274,107.63549696180556,0.0011751302083333334,40.924845000517685,0.002475043402777778,0.059649522569444446,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.0003405532625038177,STABLE,0.00018310546875,-0.001220703125,0,0.0,NONE
14,1764819378.8053555,25.149955729095424,99.76475694444444,35.39311750739267,0.0,43.24938386780788,200.29991145819085,107.64579210069445,0.0011762152777777778,40.9269028783267,0.002470703125,0.05956163194444444,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,1.1444091796875e-05,1.1444091796875e-05,0.0003281795943621546,STABLE,0.00018310546875,-0.001209259033203125,0,0.0,NONE
15,1764819378.8407245,25.160499893845454,99.76475694444444,35.391664924295895,0.0,43.253028569551525,200.3209997876909,107.64530598958333,0.0011762152777777778,40.926249215933154,0.002494574652777778,0.059556206597222223,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,4.1961669921875e-05,0.0,4.1961669921875e-05,0.00031723667052574456,STABLE,0.000225067138671875,-0.001209259033203125,0,0.0,NONE
16,1764819378.8829052,25.15039842286228,99.76475694444444,35.38463721719513,0.0,43.24707452570136,200.30079684572456,107.6519509548611,0.0011762152777777778,40.923086747737806,0.002507595486111111,0.05950737847222222,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,3.0517578125e-05,3.0517578125e-05,0.0003072578110732138,STABLE,0.000225067138671875,-0.001178741455078125,0,0.0,NONE
17,1764819379.0935168,25.08789082737617,99.76497395833334,35.40019960519358,0.0,43.22980309086166,200.17578165475234,107.66916666666667,0.0011751302083333334,40.93008982233711,0.0024989149305555554,0.05943793402777778,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.00029808387625962496,STABLE,0.000225067138671875,-0.001178741455078125,0,0.0,NONE
18,1764819379.1388795,25.062101918278813,99.76432291666667,35.36654497148889,0.0,43.206912298171964,200.12420383655763,107.66192925347222,0.0011783854166666668,40.91494523717,0.0025282118055555552,0.059404296875,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.0002896854421123862,STABLE,0.000225067138671875,-0.001178741455078125,0,0.0,NONE
19,1764819379.1739445,25.02320433404181,99.76410590277777,35.36813814514775,0.0,43.19199025387736,200.04640866808361,107.65777777777778,0.0011794704861111112,40.91566216531649,0.002472873263888889,0.05942165798611111,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.00028195910272188485,STABLE,0.000225067138671875,-0.001178741455078125,0,0.0,NONE
